"Company","Location","Segment","ReasonToTarget"
"First Ascent Biomedical","U.S.-based","Oncology precision medicine","Oncology-focused company with a biopharma-friendly story and smaller-company profile."
"TMAB Therapeutics","Houston, TX","Biotech / immuno-oncology","Emerging therapeutics company with a focused oncology story and reachable leadership."
"State 4 Therapeutics","New Haven, CT","Biotech / metabolic disease","Smaller therapeutic company in an active biopharma category."
"Paralog Therapeutic","Watertown, MA","Precision oncology biotech","Precision-medicine angle makes it highly relevant for pharma outreach."
"Interactome Biotherapeutics","Grand Rapids, MI","Biotherapeutics platform","Platform biotech with a differentiated science story and likely partnering needs."
"Centron Bio","Cambridge, MA","Genetic medicines","CNS genetic medicines company with a strong biotech commercialization angle."
"Augment Biologics","Cambridge, MA","TechBio / biologics","Biologics-focused techbio company with direct pharma platform relevance."
"InFocus Therapeutics","Boston, MA","TechBio therapeutics","Broad therapeutic platform company with AI and discovery positioning."
"Luminaria","Boston, MA","Oncology / immuno-oncology","Strong oncology and immuno-oncology fit without being a giant incumbent."
"Reflector Bio","New York, NY","Cell and gene therapy","Cell and gene therapy platform with a modern techbio story."
"Altera Therapeutics","New Haven, CT","Biologics","Smaller biologics company with a focused therapeutic development motion."
"Aquilus Pharmaceuticals","Winchester, MA","Neuroscience biotech","Neuroscience-focused biotech with a practical small-to-mid-sized profile."
"Neurodexis11 Therapeutics","Boston, MA","Neuroscience biotech","Targetable biotech with a clear disease-area focus."
"NeuroHope Therapeutics","Greenville, SC","Neuroscience biotech","Emerging neuroscience company that looks more reachable than large CNS players."
"Noara Therapeutics","Cambridge, MA","Biotech / biologics","Early-stage biologics company with likely need for strategic awareness-building."
"Parabilis Medicines","U.S.-based","Drug discovery / peptide platform","Still growth-stage enough to be interesting, but much more pharma-centric than the first list."
"Chai Discovery","U.S.-based","AI drug discovery","AI-native drug discovery company with a sharp, current story."
"Odyssey Therapeutics","U.S.-based","Computational immunology","Immunology-focused platform company with strong biotech relevance."
"Generate Biomedicines","U.S.-based","Generative biology","Platform biotech with a modern AI-biology commercialization narrative."
"Maze Therapeutics","U.S.-based","Genetics-driven drug discovery","Translational genetics company with a credible mid-stage biotech profile."
"FogPharma","U.S.-based","Targeted therapeutics","Focused biotech with an undruggable-targets story that stands out."
"Formation Bio","U.S.-based","AI-enabled drug development","Strong fit because it sits directly in drug development acceleration."
"Absci","U.S.-based","AI protein therapeutics","Protein-therapeutics platform with a clear AI and biotech message."
"Alzheon","U.S.-based","Neurodegenerative therapeutics","Targetable biotech with a disease-specific, partner-friendly story."
"NextCure","U.S.-based","Immuno-oncology","Oncology biotech with a clear therapeutic focus."
"Senda Biosciences","U.S.-based","Therapeutics platform","Platform biotech with strong strategic-partnership relevance."
"Iambic Therapeutics","U.S.-based","AI drug discovery","AI-enabled therapeutics company with current market resonance."
"Cellarity","U.S.-based","Cell biology drug discovery","Drug discovery platform company with a compelling systems-biology angle."
"Dewpoint Therapeutics","U.S.-based","Condensate biology therapeutics","Differentiated science platform that is highly pharma relevant."
"Genesis Therapeutics","U.S.-based","AI biotech","AI drug-discovery company with a biotech-facing commercial story."
"Terremoto Biosciences","U.S.-based","Covalent medicines","Smaller biotech innovator with a differentiated chemistry platform."
"Alto Neuroscience","U.S.-based","Precision psychiatry","Clinical-stage neuro company with a strong biomarker-led positioning."
"Plexium","U.S.-based","Targeted protein degradation / drug discovery","Drug development company with a strong platform and partnering angle."
"Soley Therapeutics","U.S.-based","AI phenotypic drug discovery","AI-enabled discovery company with a biotech growth profile."
"Terray Therapeutics","U.S.-based","Drug discovery platform","Platform biotech with a straightforward pharma relevance."
"Superluminal Medicines","U.S.-based","AI drug discovery","Modern AI-biotech narrative that fits the second-pass pharma focus well."
"Cour Pharmaceutical","U.S.-based","Immune modulation therapeutics","Focused therapeutic company with a strong clinical-development story."
"Atavistik Bio","U.S.-based","Allosteric drug discovery","Smaller biotech with a clear platform pitch and pharma adjacency."
